index	u	v	common_image
1	0	737/8	1
2	0	-2205/8	-1
3	0	2189/8	-1
4	0	-4905/8	1
5	0	2261/64	1
6	0	9197/64	-1
7	0	4913/64	0
8	0	-39277/64	27/64
9	-1/2	-17733/64	-157/64
10	0	5957/64	125/64
11	1/2	-110533/64	59/64
12	-5/2	-349/64	-285/64
13	-5	-64445/64	-445/64
14	0	-1701/64	27/64
15	0	189/2	27/8
16	0	549/2	-1/8
17	0	63/64	1
18	0	2133/64	-1
19	0	279/64	-1
20	0	189/64	1
21	0	51165/512	1
22	0	148365/512	-1
23	0	91125/512	0
24	-1/4	115/8	-5/4
25	0	0	1
26	17/2	-4345/32	571/64
27	-3/2	-7503/16	-221/64
28	-5	-1321/32	-445/64
29	0	-14823/16	27/64
30	0	91341/64	27/8
31	0	148869/64	-1/8
32	0	3870405/512	1
33	0	-2353149/512	-1
34	0	5177205/512	-1
35	0	-3307437/512	1
36	-3/4	-1519851/4096	1/4
37	0	-575883/4096	-1
38	0	-970299/4096	0
39	-1/4	7/8	3/4
40	1/2	-1319/8	3/2
41	0	-351/8	-1
42	0	-729/8	0
43	0	351/8	1
44	0	1323/8	-1
45	0	729/8	0
46	0	4827321/512	1
47	0	6331113/512	-1
48	0	5545233/512	0
49	1/2	11/8	3/2
50	0	-35/8	-1
51	0	19/8	-1
52	-1	4115/8	19/8
53	0	-8027/8	-27/8
54	0	7999/8	-1/8
55	0	-13823/8	1/8
56	0	-13797/64	27/64
57	0	-22077/64	-125/64
58	0	-4221/64	-125/64
59	0	1161	27/8
60	0	3429/4	-1/8
61	0	1953	-1/8
62	0	1701/4	27/8
63	0	-1092663/64	1
64	0	-857439/64	-1
65	0	-970299/64	0
66	0	-7	1
67	0	-1	-1
68	0	1331/8	0
69	0	-3375/8	0
70	0	2197/8	0
71	0	-39305/64	-1/64
72	0	17577/64	1/64
73	0	-17577/64	-1/64
74	0	5833/64	1/64
75	0	-1	0
76	0	-1/64	0
77	0	-343/64	0
78	0	125/64	0
79	0	-2197/64	0
80	0	4631/4	1/8
81	0	-1715/2	-1/8
82	0	-27	0
83	0	216	0
84	0	-729/8	0
85	0	-54873/64	-1/64
86	0	-2745/64	-1/64
87	0	21953/64	1/64
88	0	-46657/64	-1/64
89	0	3869893/512	0
90	0	-5177717/512	0
91	0	-3307949/512	0
92	0	2352637/512	0
93	0	3375/64	0
94	0	-27/64	0
95	0	729/64	0
96	0	27	0
97	0	0	0
98	0	27/8	0
99	0	-1521/8	-1/64
100	0	-12195/32	-1/64
101	0	-8001/64	-1/64
102	0	-32769/64	-1/64
103	0	-17577/64	-1/64
104	0	1521	1/8
105	0	2457/4	1/8
106	0	8001/8	1/8
107	0	8	0
108	0	-1	0
109	0	-1715/2	-1/8
110	0	422	1/8
